symbol,name
AVG.NS,Avg Logistics Limited
AVL.NS,Aditya Vision Limited
AVONMORE.NS,Avonmore Capital & Management Services Limited
AVROIND.NS,Avro India Limited
AVTNPL.NS,Avt Natural Products Limited
AWFIS.NS,Awfis Space Solutions Limited
AWHCL.NS,Antony Waste Handling Cell Limited
AWL.NS,Awl Agri Business Limited
AXISBANK.NS,Axis Bank Limited
AXISCADES.NS,Axiscades Technologies Limited
AXITA.NS,Axita Cotton Limited
AYMSYNTEX.NS,Aym Syntex Limited
AZAD.NS,Azad Engineering Limited
BAFNAPH.NS,Bafna Pharmaceuticals Limited
BAGFILMS.NS,B.A.G Films And Media Limited
BAIDFIN.NS,Baid Finserv Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJCON.NS,Bajaj Consumer Care Limited
BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINSV.NS,Bajaj Finserv Limited
BAJAJHCARE.NS,Bajaj Healthcare Limited
BAJAJHFL.NS,Bajaj Housing Finance Limited
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
BAJAJINDEF.NS,Indef Manufacturing Limited
BAJEL.NS,Bajel Projects Limited
BAJFINANCE.NS,Bajaj Finance Limited
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE.NS,Balaji Telefilms Limited
BALAMINES.NS,Balaji Amines Limited
BALAXI.NS,Balaxi Pharmaceuticals Limited
BALKRISHNA.NS,Balkrishna Paper Mills Limited
BALKRISIND.NS,Balkrishna Industries Limited
BALMLAWRIE.NS,Balmer Lawrie & Company Limited
BALPHARMA.NS,Bal Pharma Limited
BALRAMCHIN.NS,Balrampur Chini Mills Limited
BALUFORGE.NS,Balu Forge Industries Limited
BANARBEADS.NS,Banaras Beads Limited
BANARISUG.NS,Bannari Amman Sugars Limited
BANCOINDIA.NS,Banco Products (I) Limited
BANDHANBNK.NS,Bandhan Bank Limited
BANG.NS,Bang Overseas Limited
BANKA.NS,Banka Bioloo Limited
BANKBARODA.NS,Bank Of Baroda
BANKINDIA.NS,Bank Of India
BANSALWIRE.NS,Bansal Wire Industries Limited
BANSWRAS.NS,Banswara Syntex Limited
BASF.NS,Basf India Limited
BASML.NS,Bannari Amman Spinning Mills Limited
BATAINDIA.NS,Bata India Limited
BAYERCROP.NS,Bayer Cropscience Limited
BBL.NS,Bharat Bijlee Limited
BBOX.NS,Black Box Limited
BBTC.NS,The Bombay Burmah Trading Corporation Limited
BBTCL.NS,B&B Triplewall Containers Limited
BCG.NS,Brightcom Group Limited
BCLIND.NS,Bcl Industries Limited
BCONCEPTS.NS,Brand Concepts Limited
BDL.NS,Bharat Dynamics Limited
BEARDSELL.NS,Beardsell Limited
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
BEDMUTHA.NS,Bedmutha Industries Limited
BEL.NS,Bharat Electronics Limited
BELLACASA.NS,Bella Casa Fashion & Retail Limited
BELRISE.NS,Belrise Industries Limited
BEML.NS,Beml Limited
BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT.NS,Berger Paints (I) Limited
BESTAGRO.NS,Best Agrolife Limited
BETA.NS,Beta Drugs Limited
BFINVEST.NS,Bf Investment Limited
BFUTILITIE.NS,Bf Utilities Limited
BGLOBAL.NS,Bharatiya Global Infomedia Limited
BGRENERGY.NS,Bgr Energy Systems Limited
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited
BHAGERIA.NS,Bhageria Industries Limited
BHAGYANGR.NS,Bhagyanagar India Limited
BHANDARI.NS,Bhandari Hosiery Exports Limited
BHARATCOAL.NS,Bharat Coking Coal Limited
BHARATFORG.NS,Bharat Forge Limited
BHARATGEAR.NS,Bharat Gears Limited
BHARATRAS.NS,Bharat Rasayan Limited
BHARATSE.NS,Bharat Seats Limited
BHARATWIRE.NS,Bharat Wire Ropes Limited
BHARTIARTL.NS,Bharti Airtel Limited
BHARTIHEXA.NS,Bharti Hexacom Limited
BHEL.NS,Bharat Heavy Electricals Limited
BIGBLOC.NS,Bigbloc Construction Limited
BIKAJI.NS,Bikaji Foods International Limited
BIL.NS,Bhartiya International Limited
BILVYAPAR.NS,Bil Vyapar Limited
BIOCON.NS,Biocon Limited
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE.NS,Birla Cable Limited
BIRLACORPN.NS,Birla Corporation Limited
BIRLAMONEY.NS,Aditya Birla Money Limited
BIRLANU.NS,Birlanu Limited
BLACKBUCK.NS,Blackbuck Limited
BLAL.NS,Beml Land Assets Limited
BLBLIMITED.NS,Blb Limited
BLISSGVS.NS,Bliss Gvs Pharma Limited
BLKASHYAP.NS,B. L. Kashyap And Sons Limited
BLS.NS,Bls International Services Limited
BLSE.NS,Bls E-Services Limited
BLUECHIP.NS,Blue Chip India Limited
BLUECOAST.NS,Blue Coast Hotels Limited
BLUEDART.NS,Blue Dart Express Limited
BLUEJET.NS,Blue Jet Healthcare Limited
BLUESTARCO.NS,Blue Star Limited
BLUESTONE.NS,Bluestone Jewellery And Lifestyle Limited
BLUSPRING.NS,Bluspring Enterprises Limited
BMWVENTLTD.NS,Bmw Ventures Limited
BODALCHEM.NS,Bodal Chemicals Limited
BOHRAIND.NS,Bohra Industries Limited
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited
BORANA.NS,Borana Weaves Limited
BOROLTD.NS,Borosil Limited
BORORENEW.NS,Borosil Renewables Limited
BOROSCI.NS,Borosil Scientific Limited
BOSCH-HCIL.NS,Bosch Home Comfort India Limited
BOSCHLTD.NS,Bosch Limited
BPCL.NS,Bharat Petroleum Corporation Limited
BPL.NS,Bpl Limited
BRIGADE.NS,Brigade Enterprises Limited
BRIGHOTEL.NS,Brigade Hotel Ventures Limited
BRITANNIA.NS,Britannia Industries Limited
BRNL.NS,Bharat Road Network Limited
BROOKS.NS,Brooks Laboratories Limited
BSE.NS,Bse Limited
BSHSL.NS,Bombay Super Hybrid Seeds Limited
BSL.NS,Bsl Limited
BSOFT.NS,Birlasoft Limited
BTML.NS,Bodhi Tree Multimedia Limited
BUILDPRO.NS,Shankara Buildpro Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
BVCL.NS,Barak Valley Cements Limited
BYKE.NS,The Byke Hospitality Ltd
CALSOFT.NS,California Software Company Limited
CAMLINFINE.NS,Camlin Fine Sciences Limited
CAMPUS.NS,Campus Activewear Limited
CAMS.NS,Computer Age Management Services Limited
CANBK.NS,Canara Bank
CANFINHOME.NS,Can Fin Homes Limited
CANHLIFE.NS,Canara Hsbc Life Insurance Company Limited
CANTABIL.NS,Cantabil Retail India Limited
CAPACITE.NS,Capacit'E Infraprojects Limited
CAPILLARY.NS,Capillary Technologies India Limited
CAPITALSFB.NS,Capital Small Finance Bank Limited
CAPLIPOINT.NS,Caplin Point Laboratories Limited
CAPTRUST.NS,Capital Trust Limited
CARBORUNIV.NS,Carborundum Universal Limited
CARERATING.NS,Care Ratings Limited
CARRARO.NS,Carraro India Limited
CARTRADE.NS,Cartrade Tech Limited
CARYSIL.NS,Carysil Limited
CASTROLIND.NS,Castrol India Limited
CCAVENUE.NS,Avenuesai Limited
CCCL.NS,Consolidated Construction Consortium Limited
CCHHL.NS,Country Club Hospitality & Holidays Limited
CCL.NS,Ccl Products (India) Limited
CDSL.NS,Central Depository Services (India) Limited
CEATLTD.NS,Ceat Limited
CEIGALL.NS,Ceigall India Limited
CELEBRITY.NS,Celebrity Fashions Limited
CELLO.NS,Cello World Limited
CEMPRO.NS,Cemindia Projects Limited
CENTENKA.NS,Century Enka Limited
CENTEXT.NS,Century Extrusions Limited
CENTRALBK.NS,Central Bank Of India
CENTRUM.NS,Centrum Capital Limited
CENTUM.NS,Centum Electronics Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
CERA.NS,Cera Sanitaryware Limited
CEREBRAINT.NS,Cerebra Integrated Technologies Limited
CESC.NS,Cesc Limited
CEWATER.NS,Concord Enviro Systems Limited
CGCL.NS,Capri Global Capital Limited
CGPOWER.NS,Cg Power And Industrial Solutions Limited
CHALET.NS,Chalet Hotels Limited
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited
CHEMBOND.NS,Chembond Material Technologies Limited
CHEMBONDCH.NS,Chembond Chemicals Limited
CHEMCON.NS,Chemcon Speciality Chemicals Limited
CHEMFAB.NS,Chemfab Alkalis Limited
CHEMPLASTS.NS,Chemplast Sanmar Limited
